timestamp,rank,name,price,change_24h,market_cap
9/4/2026 15:48,3,Tether,$1.00 ,0.03%,$183.35B
9/4/2026 15:48,4,BNB,$718.74 ,2.51%,$95.7B
9/4/2026 15:48,5,XRP,$1.45 ,6.63%,$91.12B
9/4/2026 15:48,6,USDC,$1.00 ,0.00%,$74.19B
9/4/2026 15:48,7,Solana,$104.06 ,3.91%,$60.91B
9/4/2026 15:48,8,TRON,$0.33 ,0.26%,$31.12B
9/4/2026 15:48,9,Hyperliquid,$87.04 ,6.48%,$21.89B
9/4/2026 15:48,10,Zcash,"$1,000.06 ",20.53%,$16.85B
9/4/2026 15:48,1,Bitcoin,"$80,912.26 ",4.24%,$1.62T
9/4/2026 15:48,2,Ethereum,"$2,518.31 ",5.23%,$307.99B
9/4/2026 15:48,3,Tether,$1.00 ,0.03%,$183.35B
9/4/2026 15:48,4,BNB,$718.74 ,2.51%,$95.7B
9/4/2026 15:48,5,XRP,$1.45 ,6.63%,$91.12B
9/4/2026 15:48,6,USDC,$1.00 ,0.00%,$74.19B
9/4/2026 15:48,7,Solana,$104.06 ,3.91%,$60.91B
9/4/2026 15:48,8,TRON,$0.33 ,0.26%,$31.12B
9/4/2026 15:48,9,Hyperliquid,$86.52 ,5.89%,$21.76B
9/4/2026 15:48,10,Zcash,$993.22 ,19.65%,$16.73B
9/4/2026 15:50,1,Bitcoin,"$80,878.35 ",4.35%,$1.62T
9/4/2026 15:50,2,Ethereum,"$2,517.13 ",5.28%,$307.27B
9/4/2026 15:50,3,Tether,$1.00 ,0.03%,$183.35B
9/4/2026 15:50,4,BNB,$717.63 ,2.25%,$95.56B
9/4/2026 15:50,5,XRP,$1.44 ,6.32%,$90.83B
9/4/2026 15:50,6,USDC,$1.00 ,0.00%,$74.19B
9/4/2026 15:50,7,Solana,$103.82 ,3.71%,$60.77B
9/4/2026 15:50,8,TRON,$0.33 ,0.24%,$31.12B
9/4/2026 15:50,9,Hyperliquid,$86.95 ,6.35%,$21.87B
9/4/2026 15:50,10,Zcash,$998.76 ,20.24%,$16.83B
9/4/2026 15:50,1,Bitcoin,"$80,878.35 ",4.35%,$1.62T
9/4/2026 15:50,2,Ethereum,"$2,517.13 ",5.28%,$307.27B
9/4/2026 15:50,3,Tether,$1.00 ,0.03%,$183.35B
9/4/2026 15:50,4,BNB,$717.63 ,2.25%,$95.56B
9/4/2026 15:50,5,XRP,$1.44 ,6.32%,$90.83B
9/4/2026 15:50,6,USDC,$1.00 ,0.00%,$74.19B
9/4/2026 15:50,7,Solana,$103.82 ,3.71%,$60.77B
9/4/2026 15:50,8,TRON,$0.33 ,0.24%,$31.12B
9/4/2026 15:50,9,Hyperliquid,$86.95 ,6.35%,$21.87B
9/4/2026 15:50,10,Zcash,$998.76 ,20.24%,$16.83B
9/4/2026 15:51,1,Bitcoin,"$80,878.35 ",4.35%,$1.62T
9/4/2026 15:51,2,Ethereum,"$2,517.13 ",5.28%,$307.27B
9/4/2026 15:51,3,Tether,$1.00 ,0.03%,$183.35B
9/4/2026 15:51,4,BNB,$717.63 ,2.25%,$95.56B
9/4/2026 15:51,5,XRP,$1.44 ,6.32%,$90.83B
9/4/2026 15:51,6,USDC,$1.00 ,0.00%,$74.19B
9/4/2026 15:51,7,Solana,$103.82 ,3.71%,$60.77B
9/4/2026 15:51,8,TRON,$0.33 ,0.24%,$31.12B
9/4/2026 15:51,9,Hyperliquid,$86.95 ,6.35%,$21.87B
9/4/2026 15:51,10,Zcash,$998.76 ,20.24%,$16.83B
9/4/2026 15:51,1,Bitcoin,"$80,878.35 ",4.35%,$1.62T
9/4/2026 15:51,2,Ethereum,"$2,517.13 ",5.28%,$307.27B
9/4/2026 15:51,3,Tether,$1.00 ,0.03%,$183.35B
9/4/2026 15:51,4,BNB,$717.63 ,2.25%,$95.56B
9/4/2026 15:51,5,XRP,$1.44 ,6.32%,$90.83B
9/4/2026 15:51,6,USDC,$1.00 ,0.00%,$74.19B
